sentiment,text,prediction
1,ok well now they have coronavirus which is entirely different from the flu,1
1,breaking a uae research institute has developed a breakthrough treatment for covid  which could be a game changer in the global fight against the virus ,3
0,mark my words next up on the coronavirus hit list will be anthony weiner mark my damn words,0
2,manila eases worlds longest lockdown …,2
3,as we cross  million cases  million recoveries and    deaths the virus continues to spread adding a   new cases everyday death toll in lat am and brazil is on the rise still most severe rise in mortality rate was in us uk spain and italy,1
3,they have failed the whole nation yetro  mahina lockdown ma rakheko cha gareeb janta lai sakne le ta jasari in bachihalchan janata marna baneko loktantra ho yo and i do not think these neta give two fucks ko bhokai mariracha they are happily living in their bubble,3
0,nsac suspends combat sporting events until march  amid coronavirus concerns,0
2,song qismat singer kktomar yt channel … to watch go and suscribe in advance song will release after lockdown twitter ,2
2,with this whole covid thing even birds are taking personal hygiene seriously and washing their feet beaks and wings regularly red whiskered bulbuls enjoy a summer splash in our bird bath next to the firebush tree… …,2
2,lockdown time am seeing around people changed attitude  this will bring back humanity humility in the way we go ahead with our life pic twitter ,2
0,you are a useless prime minster of india now you easing the lockdown will make catastrophe,3
3,how demonetisation gst  corona lockdown cld hv bn made successful without collateral damage writes biswajit bhattacharya but we prided in shocks got electrocuted …,3
1,to mitigate spread of the coronavirus duke university has suspended on campus labs and classes until further notice,1
1,closing the schools cancelling gigs postpone movies telling working ppl to stay at home etc will do absolutely nothing you will get it one way or another the media are blowing coronavirus out of proportion to scare you like fuck offffffff stop ruining everyone is ,0
3,i suspect in new zealand where māori had a death rate  times that of non māori there was widespread support for a national lockdown at only  cases,0
0,how about “a government that provides safety to the people ” are you so concerned with stealing  that you cannot take legislative action for the virus or are you on vacation i hear there are cheap flights to,0
0,vanity fair trump now blaming americans for not getting coronavirus tests that do not exist trump has failed the american people first he blames president obama now he blames the american people for coronavirus a liar who deceives himself via,0
3,i feel like my life is flashing by and all i can do is watch and cry i miss the air i miss my friends i miss my mother i miss it when life was a party to be thrown but that was a million years ago كورونا,3
3,bjp govt started blaming the people for jump in corona cases modj short notice of  hours for  percent lockdown that lead to migrants walking on streets outsiders standard will govt admit its fault …,3
3,sir my family wants to travel to karnataka belgavi from flight should i even now apply for e pass and along a child is of  years n  months what proof are needed please help me,3
0,fuck the coronavirus and my job im too stressed to care atm,1
2,fightingcorona to create a better world pic twitter ,2
1,markets crashingbrent wti futures crash  over saudi arabia russia oil price war fears  coronavirus concerns,1
1,the people today went to the streets of brazil and showed the corrupted congress how powerful we are even the coronavirus disappeared we showed the world we are not afraid tomorrow morning everyone will be working as usual,1
1,corona virus killing people out here and dudes still do not wash their hands after a nice pee,1
1,one thing in s favor is that he freaks out over germs he probably never shook a hand without smearing on hand sanitizer trump is misleading his followers who are absorbing his cavalier attitude,0
1,how many deaths were the result of the great depression or great recession stress depression suicide overdoses poorer health outcomes all of these deaths should be weighed against coronavirus deaths should they not,1
1,health and human services hit with cyber attack aimed at slowing coronavirus response report,0
3,govt of india should take decision for all school children to waived off school fees from apr to jun  due to covid  for avoiding financial burden in this critical junction of time and moral support as there is nation wide lock down and school remains closed,3
3,the us internationally banned bombs killed too many innocents in  caused chronic diseases to many however us and its agents in the area aim to enter to kill more,3
1,nikki sixx on coronavirus dampen down the hysteria,1
0,due to the coronavirus i wont be going out you drunk bitches aint coughing on me,0
2,can tiktok take action against those who create unresponsibleness between the citizens by creating funny videos on pandemic covid ,3
2,lockdown ride video coming soon traveldiaryindia stay tuned travel diary india on youtube link below subscribe now … india …,2
1,well in the beginning of the outbreak in china i already suspect that thus virus is a human made the earth population is already out of control someone need to control it that is why they made war in middle east countries with very high birthrate,1
3,was speaking to my friends in doha and they told lockdown is one thing which their government has done but people by themselves has stopped going out even all of them are offering prayers at their home only my questions to indian muslims why you cannot follow the same way,3
2,everyone locking there houses seems to be not a solution fight with covid where ever you are do not fear do not lose hopes all above god is doing something miracles daily on our lifes,3
0,you give me suspect vibes imagine that like why you think about dudes given each other head in the  place like are you that gay you think about gay say when you here the corona virus,1
1, ncaa tournament games to be played without fans in attendance due to threat of coronavirus via,0
3,please allow laws to play online games in telangana it is boring due to lockdown,3
0,why because your buddies are all dying from the coronavirus shut up meat head,0
1, whoever gives a shit im in eastern europe no one is wearing masks everyone thinks thinks this is the flu they are right,1
3,corona fuck you loudlycryingface loudlycryingface i want to go here loudlycryingface,0
3,India india fast spreading but improving rapidly contagion est   of pop infected peak daily deaths of  in  days proj death toll   in  days fouro’clock  ,3
3,lockdown till death,2
0,my brother and i just got into an argument and he going to say “well i hope you get the corona virus” like dang bro chillll it was not that serious,1
1,yes and pushkin really does not trigger me can avoid duels and dont plan to drink on the streets during,1
3,Thailand thailand under control and improving rapidly contagion est   of pop infected proj death toll  in  days fouro’clock  ,1
0,is not this truth never been more stressed frustrated in my all my life more questions than answers being raised right now ,3
1,i was not too nervous about prior to yesterday but these last  days have changed me with that said keep washing your hands and stay home if you are sick hoping everyone stays safe,3
2,we so happy that shibi was our first customer at samasta today wearing samasta ofcourse we are now officially open after the lockdown samasta has printed dresses and tunics in cool cottons to beat the heat come… …,2
3, covid  death reported in jk toll   a  year old man with comorbities from doda district on monday died of covid  at gmc jammu taking the death toll due to the virus to  in jammu and kashmir – at rajbagh,3
3,a good service in bad times of corona epidemic,2
0,pennsylvania gov tom wolf orders statewide shutdown over coronavirus via,0
3,so sad to hear the passing away of wajid khan bhai due to covid  rest in peace foldedhands,3
1,ex obama official warns us health system faces tsunami over coronavirus,0
3,i thought i can celebrate both of my favourites on the same week which is raya and harvest festival but sadly due to covid  i cant even do shit now haha,3
1,we should do a daily mass test of all citizens in a mid sized town affected by for a full month to get a real time picture of the actual threat level imposed by the coronavirus this is the only way to get an exact understanding of the virus,1
