Comment	label
Rippy bananas can lead to early puberty, whether it's true or not, parents need to know these questions.	0
Geely flagship model, less than 100, 000 can still have full-LCD instrumentation, monthly sales of 20,000 crush opponents!	2
"The new version of ""Deep rain in the deep rain"", Zhao Liying played Yiping, and Ho Hefang is most expected of the actor."	2
"""Su Dongpo"" is about to start shooting, Hu Lingli co-starring in the group CP? I don't believe it"	0
"The ""drumsticks"" buried underground in the countryside, eaten raw, are the ""nemesis"" of diabetes."	2
My family often eat this dish, delicious and delicious, the second time light, sterilization and calcium supplements, diabetes people eat the best.	2
Homemade is more powerful than 502 glue, a few cents to make a big bowl, no money to buy later.	0
Does your cellphone smell popcorn?	2
Drink a bowl a day, it's slim, the poison's done, the swelling's gone, the pimples are gone.	2
"""Health care"" to eat less meat to prevent the three high? The more you eat the worse, the healthy eating of meat law."	0
Smoke-sucking machine heavy oil is hard to clean, teach you to clean the oil easily, 5 minutes to get it done.	0
The 95-year-old Yang Zhenning a recent photograph, the face of a staggered face staggering, the net out of the villa to receive heritage villas?	2
Yangmei still has this effect - anti-cancer, anti-cancer, beauty-reducing	2
In 2017, three major readjustments of NCMS will be adjusted to 300% for farmers who receive medical treatment first.	2
Commencing on 1 December, compulsory education will be abolished in some rural areas and free education will be provided.	0
The new Passat model is so handsome that it is the boss of the B-class car.	2
The Jie Jie divorce case is officially open, hoping that the groom will go out clean?	0
Mask only fool, daily use vitamin E to face the face, the spot wrinkle three times completely no	2
The exam is over by 2018, the police will step in.	0
The woman was driving her pregnant daughter-in-law, and she didn't expect the water to break down halfway.	0
This year the countryside has to pay these fees nearly time, families have to pay, each pay 400 yuan!	0
Auria and it eat together, more than Cordyceps sinensis, hypotensive lowering blood pressure protection vascular!	2
The net is on the net some stranger came to steal the children, the truth came...	2
"""Warden 3"" Begin, Wu Jing bully to reject Wang's investment"	0
Be careful with your mobile phone. Don't repeat these four mistakes. No wonder they don't take a few years.	2
the reason the baby responded to the pregnancy and rushed back to the man is not what wang si-smart said.	0
How does pregnant woman prevent computer radiate ah?	2
Olive oil, vegetable oil, animal oil as long as the cooking habits are not correct carcinogenic!	2
"""Extreme Challenge 4,"" one episode of the show, was 98 minutes, and Zhang showed up three times. He was accused of cheating the audience."	2
"Note: After the autumn is wet, do not eat these kinds of fruits again, no wonder you ""belly"" big"	0
An incident of hacking in the village of Da Ying village in the Haikou area? Haikou nets cautionary note not to spread rumors	2
The people are collapsing? Nini's being exposed as a cat.	2
Weight loss does not have to be silly diet, Chinese medicine gives you a cup of dietetic tea, clear bowel oil, healthy and slim down	2
We're going to crack down on internet rumors and zero tolerance.	2
the housing property certificate has been laid off? if it has its house, it will only belong to you, and the owners of the 49 districts in jinan can handle it themselves	2
A new method of toothpaste wash face, learn method, a few days skin white, white face white, too practical	2
It is difficult to see the occurrence of crustal movement disasters in Dongwu Banner of Inner Mongolia Autonomous Region.	0
Remind! Two men in Yichun to fabricate rumor in the micro-letter, one person is arrested, one is fined!	2
Attention, driver! Drinking and driving without driving in this situation is also a DUI!	2
It is said that the person with the scar on the left index finger is the imprint left by the person who loves you most in the previous life, because he wants to find you in this lifetime, if you have a scar on your left forefinger please	2
58-year-old ni ping smoke ceaseless, the son of cancer to torture oneself is not like the elephant!	2
The fruit of the fruit world, the most fruit of the fruit, can not be eaten as soon as it falls on the ground, but it is still popular.	2
Rural farmers in the villages have a residential site to buy residential buildings, if not considered a house of many houses?	2
a small car driver with a $100 bill tricked elementary school students into taking the lead on the rumor mill line rumor	2
The Sixth National Standard is coming. The old car won't be able to travel.	2
Jiang Zhaoyan is accused of being a mistress, and Mao Xiaotong is at home	2
it 's up! hengda' s $50 million euro quotes price is also contested by the government of the golan in the golan	2
Eat onion to prevent heart disease, but touch this taboo can be blind!	2
Wangfei participate in a variety show to draw attention to the hundreds of millions of dollars to the fans envy!	2
Do not test driver's grasp! After May, the school will meet new changes!	2
In the countryside, there is little income from farming, and the farming industry is still losing money, and farmers can do so.	2
Physically hypothermia is the most effective and safest way to reduce fever in children!	2
Exposure | non-commissioned rural van type vehicles, etc. (No. 9)	0
The girl insists drink a cup of water, detoxify eliminate the fat, let your month thin 10 catties!	2
Most people like to eat onions, have the prevention virus cold, anti-aging, the effect that promotes weight loss	0
The electrician taught me the formula of the carp bait! 67 catties catfish, he took 3 years!	0
"When white vinegar meets ""it"", 60 seconds of quick dispelling and whitening, next door aunt all night spots all disappear."	2
< i > Don't expect < / i > < i > an Earthquake < / i > < i > cloud to come. < / i >	2
The world's first incubator baby.	2
Ginger and its shampoo, one minute to learn, two days to quickly black, the village people said I dye hair.	0
"The most ""exotic"" fruit in the world, have eaten two or more are the soil rich!"	0
Don't say you all know, Huawei phone volume button still has this operation!	0
From tomorrow: the new rules of auto annual review will be implemented, five items will be abolished!	0
Host Tung Tian said she left CCTV for a year because of the fact that she wanted to have a baby	2
